x;y;z;roll;pitch,yaw
0.609492;0.0176244;0.375947;0.0566547;-3.1053;1.96317
0.734171;0.00807135;0.399352;-0.204409;3.06117;2.27094
0.616492;-0.0195758;0.374301;0.0644658;-3.08907;2.26229
0.644588;-0.130801;0.348395;0.199233;2.92598;2.28669
0.616492;-0.0195758;0.374301;0.0644657;-3.08907;2.26229
0.730414;0.00903435;0.399276;-0.212111;3.04488;1.9708
0.609492;0.0176244;0.375947;0.0566547;-3.1053;1.96317
0.500975;0.0272818;0.317886;0.329939;-2.97918;1.92003
0.603169;-0.0966195;0.348749;0.191622;2.90958;1.98554
0.609492;0.0176243;0.375947;0.0566544;-3.1053;1.96317
0.727108;0.0110633;0.399269;-0.224326;3.03158;1.67008
0.613802;0.0552119;0.377987;0.0444092;-3.11851;1.66407
0.573688;-0.0517507;0.350037;0.179309;2.89611;1.68316
0.613802;0.0552119;0.377987;0.0444092;-3.11851;1.66407
